country,kind,key,lat,lon
NL,pc4,2548,52.0430,4.3580
NL,pc4,2512,52.0705,4.3007
NL,city,den haag,52.0705,4.3007
NL,city,'s-gravenhage,52.0705,4.3007
NL,city,rijswijk,52.0364,4.3247
NL,city,delft,52.0116,4.3571
NL,city,zoetermeer,52.0575,4.4936
NL,city,amsterdam,52.3676,4.9041
NL,city,rotterdam,51.9244,4.4777
NL,city,utrecht,52.0907,5.1214
NL,city,eindhoven,51.4416,5.4697
NL,city,dordrecht,51.8133,4.6901
NL,city,maastricht,50.8514,5.6910
NL,city,groningen,53.2194,6.5665
NL,city,tilburg,51.5555,5.0913
NL,city,breda,51.5719,4.7683
NL,city,nijmegen,51.8126,5.8372
NL,city,arnhem,51.9851,5.8987
NL,city,apeldoorn,52.2112,5.9699
NL,city,amersfoort,52.1561,5.3878
NL,city,haarlem,52.3874,4.6462
NL,city,zwolle,52.5168,6.0830
NL,city,'s-hertogenbosch,51.6978,5.3037
NL,city,den bosch,51.6978,5.3037
NL,city,almere,52.3508,5.2647
NL,city,enschede,52.2215,6.8937
NL,city,leeuwarden,53.2012,5.7999
NL,city,leiden,52.1601,4.4970
NL,city,alkmaar,52.6324,4.7534
NL,city,venlo,51.3704,6.1724
NL,city,helmond,51.4793,5.6570
NL,city,hengelo,52.2659,6.7930
NL,city,deventer,52.2552,6.1639
NL,city,sittard,51.0010,5.8691
NL,city,heerlen,50.8882,5.9795
NL,city,roermond,51.1942,5.9870
NL,city,gouda,52.0115,4.7104
NL,city,schiedam,51.9197,4.3886
NL,city,zaandam,52.4389,4.8260
NL,city,hilversum,52.2292,5.1669
DE,plz,50,50.9375,6.9603
DE,plz,40,51.2277,6.7735
DE,plz,80,48.1351,11.5820
DE,plz,10,52.5200,13.4050
DE,plz,20,53.5511,9.9937
DE,plz,60,50.1109,8.6821
DE,plz,70,48.7758,9.1829
DE,city,koln,50.9375,6.9603
DE,city,köln,50.9375,6.9603
DE,city,cologne,50.9375,6.9603
DE,city,dusseldorf,51.2277,6.7735
DE,city,düsseldorf,51.2277,6.7735
DE,city,munchen,48.1351,11.5820
DE,city,münchen,48.1351,11.5820
DE,city,munich,48.1351,11.5820
DE,city,berlin,52.5200,13.4050
DE,city,hamburg,53.5511,9.9937
DE,city,frankfurt,50.1109,8.6821
DE,city,stuttgart,48.7758,9.1829
DE,city,dortmund,51.5136,7.4653
DE,city,essen,51.4556,7.0116
DE,city,aachen,50.7753,6.0839
DE,city,munster,51.9607,7.6261
DE,city,münster,51.9607,7.6261
DE,city,hannover,52.3759,9.7320
DE,city,duisburg,51.4344,6.7623
DE,city,bochum,51.4818,7.2162
DE,city,wuppertal,51.2562,7.1508
DE,city,bonn,50.7374,7.0982
